,#1 String,#2 String
369,If universe is expanding without a limit and dark and vacuum energy are created as it expands?,If dark and vacuum energy are created with expansion is there potential energy that transforms into these types of energy with expansion?
370,What will be the effects after banning on 500 and 1000 rupee notes?,"What would be the effect on the Indian economy after banning 500 and 1,000 notes?"
371,How should I start the preparation of IAS exam from my graduation level?,How do I start preparation for IAS exam?
372,Which coaching prepares the best Civil Services GS notes/material?,Which coaching prepares you the best for civil services GS notes/materials?
373,"When Donald Trump become President, is he required by law to make public his 2017 tax return?",Would Donald Trump be legally required to release his tax returns if he became President?
374,What is the best thing you have ever read on quora.com?,What is the best thing you have read on Quora?
375,What are your views on ban of 500 and 1000 rupee notes in India?,What do you think about banning 500 and 1000 rupee notes in India?
376,What is it like to meet Akshay Kumar?,How's it like to meet Akshay Kumar?
377,"Why all the planets in our solar system, are round?",Why are planets mostly round?
378,What is Bitcoin? Is it legal in India?,What is bitcoin actually? Why is it not legal in India?
379,Which ways to boost my Twitter?,How do you boost your Twitter followers?
380,Why doesn't a duck's quack echo?,"Is it true a duck's quack doesn't echo? And if it is true, why?"
381,Is there (already) a factual proof that demonetization in India is Success/Failure?,Will the demonetization successful in India or not?
382,What are good stocks to invest in right now?,What are the best stocks to invest in right now?
383,Who is your favourite superhero or villain? Why?,Who is your favorite superhero and why?
384,Do I need to learn data structure and algorithms to become good in embedded system?,For an embedded engineer is it necessary to learn algorithms and data structure?
385,What are the worst answers ever given on Quora?,What are some worst answer on Quora?
386,What are the most unique ways to cook eggs?,What are some unusual ways of cooking eggs?
387,What is your opinion on PM Narendra Modi's decision to ban INR 500 and INR 1000 notes?,What are your views on ban of 500 and 1000 rupee notes in India?
388,Is it possible to make time machine and do time travel?,Is it possible to time travel to past?
389,How can I upload profile picture on Quora?,How do I get my picture to be different on Quora?
390,Can I use olive oil as a moisturizer?,What is the best olive oil to be used for moisturizing the skin?
391,Why do I not feel fulfilled?,Why am I not fulfilled?
392,Can we stop global warming?,What are some effective ways to stop global warming?
393,How can I learn better in school/ How can I get better grades in school?,How can I get the best grades/better grades at school?
394,How can I lose weight effectively?,How do I lose weight from 70 to 50?
395,Where can I get best assistance in Sydney for buying property?,Where can I get very smooth and uncomplicated assistance in Sydney for any property transaction?
396,Can people actively control their emotions?,Does our mind control our emotions?
397,How can I grow taller?,In what ways can I grow taller?
398,How do I publish articles?,How do I publish an article?
399,What is one thing most people don't know about you?,What are some things most people don't know about you?
400,Which is your favourite song?,What is your favourite song?
401,Why are Indians so obsessed about what people from other countries think about India?,Why are Indians so obsessed in knowing thoughts of other countries about them?
402,"How do you say ""I hope you are doing well in school"" in Spanish?","How do you say ""I hope you are doing well in school,"" in Spanish?"
403,What does Balaji Vishwanathan think about the ban of ₹500 and ₹1000 currency notes in India?,What is Balaji Viswanathan's take on 500 & 1000 rupees currency notes ban in India?
404,How can we recover our Gmail password online?,How do I recover a lost password or account for gmail?
